CTFIPS,Average of DS_PM_pred
48085030101,8.540737705
48085030102,8.489538251
48085030201,8.678571038
48085030202,8.694907104
48085030204,8.625587432
48085030205,8.656827869
48085030206,8.684103825
48085030207,8.610612022
48085030301,8.87326776
48085030302,8.888606557
48085030303,8.898551913
48085030304,8.885989071
48085030306,8.73702459
48085030307,8.766571038
48085030403,8.961937158
48085030404,8.98973224
48085030405,9.007469945
48085030406,9.006281421
48085030407,8.992519126
48085030409,8.987368852
48085030410,8.971863388
48085030504,9.007592896
48085030505,9.015653005
48085030506,9.017565574
48085030507,9.017934426
48085030509,9.015437158
48085030510,9.004054645
48085030511,8.993920765
48085030512,8.99507377
48085030515,8.938527322
48085030516,8.957942623
48085030517,8.960300546
48085030518,8.979489071
48085030519,8.935587432
48085030520,8.956844262
48085030521,8.947579235
48085030524,8.921054645
48085030525,8.933918033
48085030529,8.945912568
48085030531,8.935177596
48085030532,9.008756831
48085030533,9.010696721
48085030534,8.928948087
48085030535,8.915106557
48085030536,8.955598361
48085030537,8.94252459
48085030538,8.946715847
48085030539,8.942325137
48085030540,8.966120219
48085030541,8.949606557
48085030542,8.979434426
48085030543,8.967786885
48085030544,8.906401639
48085030545,8.912877049
48085030546,8.913893443
48085030547,8.904562842
48085030548,8.905311475
48085030549,8.933256831
48085030550,8.929734973
48085030604,8.816254098
48085030605,8.862464481
48085030606,8.918568306
48085030607,8.888983607
48085030608,8.881773224
48085030609,8.877431694
48085030701,8.808663934
48085030702,8.839013661
48085030801,8.870833333
48085030802,8.848639344
48085030901,8.796628415
48085030902,8.799934426
48085030903,8.849726776
48085031003,8.699040984
48085031005,8.62979235
48085031006,8.640844262
48085031007,8.736431694
48085031008,8.704852459
48085031101,8.492811475
48085031102,8.519628415
48085031201,8.534491803
48085031202,8.565265027
48085031308,8.76665847
48085031314,8.813696721
48085031318,8.826027322
48085031319,8.829546448
48085031320,8.774095628
48085031321,8.740852459
48085031322,8.833931694
48085031323,8.797920765
48085031324,8.944784153
48085031325,8.946513661
48085031326,8.882155738
48085031327,8.914346995
48085031328,8.914016393
48085031329,8.883773224
48085031330,8.851415301
48085031331,8.874606557
48085031332,8.852248634
48085031333,8.914934426
48085031334,8.899811475
48085031335,8.884800546
48085031336,8.864562842
48085031408,8.887169399
48085031411,8.924330601
48085031412,8.903155738
48085031413,8.914161202
48085031414,8.896439891
48085031415,8.987713115
48085031416,8.995019126
48085031417,8.982333333
48085031418,8.95257377
48085031419,8.847177596
48085031420,8.799062842
48085031421,8.963934426
48085031422,8.959803279
48085031423,8.94939071
48085031424,8.95802459
48085031425,8.931229508
48085031504,8.921603825
48085031507,8.992382514
48085031508,8.95354918
48085031509,9.003494536
48085031510,8.986377049
48085031511,8.977631148
48085031512,8.948497268
48085031611,8.98692623
48085031613,9.005650273
48085031621,9.00970765
48085031622,8.99910929
48085031623,8.98747541
48085031624,9.003101093
48085031625,9.00613388
48085031626,9.003806011
48085031627,9.004830601
48085031628,8.995617486
48085031629,9.002653005
48085031630,9.01679235
48085031631,9.004663934
48085031632,8.996278689
48085031633,9.004846995
48085031634,9.004538251
48085031635,8.989887978
48085031636,9.010994536
48085031639,9.004759563
48085031641,9.007677596
48085031642,9.007377049
48085031643,9.007734973
48085031645,9.015336066
48085031646,9.010131148
48085031647,9.006043716
48085031649,9.011486339
48085031654,9.018863388
48085031655,9.017284153
48085031657,9.014374317
48085031659,9.016169399
48085031660,9.01452459
48085031661,9.020431694
48085031662,9.018349727
48085031663,9.015846995
48085031664,9.016773224
48085031665,8.991879781
48085031666,9.006090164
48085031667,9.015142077
48085031668,9.019210383
48085031669,9.013937158
48085031670,9.012581967
48085031671,9.019243169
48085031672,9.01573224
48085031673,9.022453552
48085031674,9.019311475
48085031675,9.01839071
48085031676,9.016259563
48085031677,9.008065574
48085031678,9.02334153
48085031679,9.016095628
48085031680,9.005639344
48085031681,9.012013661
48085031682,9.019180328
48085031704,9.007978142
48085031706,9.002043716
48085031708,9.006571038
48085031709,9.00110929
48085031711,9.003128415
48085031713,9.006248634
48085031715,9.017972678
48085031716,9.011090164
48085031717,9.012153005
48085031718,9.00134153
48085031719,8.994218579
48085031720,8.985836066
48085031721,9.004663934
48085031722,9.012030055
48085031723,9.00963388
48085031724,9.00607377
48085031806,8.987724044
48085031807,9.001737705
48085031808,8.993814208
48085031809,8.987122951
48085031810,8.98607377
48085031811,9.000095628
48085031812,8.996275956
48085031813,8.989374317
48085031814,8.982459016
48085031815,8.979188525
48085031816,8.971688525
48085031901,8.967489071
48085031902,8.977540984
48085031903,8.976396175
48085031904,8.984234973
48085032003,8.97997541
48085032008,8.972546448
48085032010,8.951748634
48085032012,8.98189071
48085032013,8.983043716
48085032014,8.979256831
48085032015,8.97073224
48085032016,8.945852459
48085032017,8.926486339
48085032018,8.96270765
48085032019,8.941726776
48113000100,8.846385246
48113000201,8.85979235
48113000202,8.862131148
48113000300,8.859224044
48113000401,8.844584699
48113000405,8.847382514
48113000407,8.841273224
48113000408,8.843188525
48113000409,8.831467213
48113000410,8.861587432
48113000501,8.845912568
48113000502,8.84810929
48113000503,8.848289617
48113000605,8.854603825
48113000606,8.860784153
48113000607,8.853486339
48113000608,8.848010929
48113000609,8.852
48113000610,8.849868852
48113000611,8.843237705
48113000703,8.852557377
48113000704,8.85647541
48113000705,8.85731694
48113000706,8.860172131
48113000801,8.855918033
48113000802,8.848584699
48113000901,8.851393443
48113000902,8.852535519
48113001001,8.852027322
48113001002,8.851349727
48113001101,8.855527322
48113001102,8.853016393
48113001202,8.840565574
48113001203,8.836620219
48113001204,8.840371585
48113001301,8.846751366
48113001302,8.844617486
48113001400,8.851084699
48113001502,8.835336066
48113001503,8.848860656
48113001504,8.848226776
48113001601,8.848724044
48113001602,8.851830601
48113001703,8.850693989
48113001705,8.85015847
48113001801,8.853606557
