GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,COUNTYA,TRACTA,GEO_ID,NAME,GEOCODE,TL_GEO_ID,REGIONA,DIVISIONA,CBSAA,MEMI,CSAA,METDIVA,PUMA,AREALAND,AREAWATR,BASENAME,INTPTLAT,INTPTLON,TotalPopulation,TotalUrbanPopulation,TotalRuralPopulation,TotalPop_NotDefined,TotalPopinHH,TotalPopinHH_Under18,TotalPopinHH_Over18,MedianAgebySex_Total,MedianAgebySex_Male,MedianAgebySex_Female,Race_TotalPop,Race_White,Race_Black,Race_AmericanIndian_AlaskaNative,Race_Asian,Race_NativeHawaiian_PacificIslander,Race_SomeOther,Race_Mixed,EduAttainment_Total25yrs+,EduAttainment_NoSchooling,EduAttainment_HighSchoolDiploma,EduAttainment_Bachelors ,EduAttainment_Masters,Pop_BPL_Total,Pop_BPL_under.50,Pop_BPL_under.99,MedianHHIncome_12mon,HH_PublicAssistance_SNAP_12mon,GiniIndex,TotalCivilianPop,OneOrMoreHealthInsurance,NoHealthInsurance,PCY_12mon,EmpStatus_TotalPop16plus,EmpStatus_LF,EmpStatus_Unemplyed_Civilian,TotalHousingUnits,TotalUrbanPop_prc,NoHealthInsurance_prc,Employed_prc,BPL_prc
G4800850030101,2018-2022,TX,Texas,48,Collin County,085,030101,1400000US48085030101,"Census Tract 301.01, Collin County, Texas",48085030101,48085030101,3,7,19100,1,206,19124,01907,119235977,1249939,301.01,33.2679616,-96.4367903,3595,0,3595,0,3595,993,2602,39.7,40.1,39.2,2874,2428,2,5,3,0,231,205,1959,170,533,202,68,2874,126,120,96111,79,0.3529,2874,458,2416,35910,2208,1439,26,1013,0,84.06402227,65.17210145,8.559498956
G4800850030102,2018-2022,TX,Texas,48,Collin County,085,030102,1400000US48085030102,"Census Tract 301.02, Collin County, Texas",48085030102,48085030102,3,7,19100,1,206,19124,01907,200441944,2109723,301.02,33.3217146,-96.3785072,4282,0,4282,0,4282,1019,3263,41,43.9,40.4,3795,3643,0,0,13,0,51,88,2569,64,692,401,122,3795,318,157,95625,113,0.4246,3795,526,3269,40052,3062,1849,32,1472,0,86.13965744,60.38536904,12.51646904
G4800850030201,2018-2022,TX,Texas,48,Collin County,085,030201,1400000US48085030201,"Census Tract 302.01, Collin County, Texas",48085030201,48085030201,3,7,19100,1,206,19124,01907,91250954,1329423,302.01,33.2618762,-96.5350497,6175,2929,3246,0,6133,1649,4484,40.2,42.1,35.8,5985,4715,395,25,229,0,68,553,4000,0,735,1190,599,5962,131,131,134290,65,0.3714,5979,720,5259,48515,4616,3269,96,2215,47.43319838,87.95785248,70.81889082,4.39449849
G4800850030202,2018-2022,TX,Texas,48,Collin County,085,030202,1400000US48085030202,"Census Tract 302.02, Collin County, Texas",48085030202,48085030202,3,7,19100,1,206,19124,01907,151377249,2417266,302.02,33.3405713,-96.643292,6345,0,6345,0,6345,1613,4732,41.1,41.2,40.9,5687,4639,58,5,273,0,233,479,4125,11,488,1403,722,5687,154,56,129915,14,0.4469,5687,1008,4679,63872,4575,2943,110,2154,0,82.27536487,64.32786885,3.692632319
G4800850030204,2018-2022,TX,Texas,48,Collin County,085,030204,1400000US48085030204,"Census Tract 302.04, Collin County, Texas",48085030204,48085030204,3,7,19100,1,206,19124,01907,15792805,2872,302.04,33.3707197,-96.5746853,7554,6524,1030,0,7554,2461,5093,34.4,32.9,35.5,7785,5553,1420,24,85,0,185,518,5253,0,906,2086,675,7785,357,261,112761,263,0.337,7785,776,7009,38144,5876,4135,151,2929,86.36483982,90.03211304,70.37100068,7.938342967
G4800850030205,2018-2022,TX,Texas,48,Collin County,085,030205,1400000US48085030205,"Census Tract 302.05, Collin County, Texas",48085030205,48085030205,3,7,19100,1,206,19124,01907,9537470,301833,302.05,33.3311563,-96.5721906,4869,4626,243,0,4869,1511,3358,30.7,30.2,32.2,5625,4347,575,21,197,0,143,342,3399,25,879,787,293,5625,1002,24,83352,0,0.4836,5625,1447,4178,35962,4217,2738,21,1975,95.00924214,74.27555556,64.9276737,18.24
G4800850030206,2018-2022,TX,Texas,48,Collin County,085,030206,1400000US48085030206,"Census Tract 302.06, Collin County, Texas",48085030206,48085030206,3,7,19100,1,206,19124,01907,10998136,113281,302.06,33.2964198,-96.5796303,4565,4426,139,0,4565,1559,3006,36.7,38.3,33,5054,3564,550,0,384,0,121,435,3339,0,657,1413,395,5054,135,78,152800,59,0.249,5054,960,4094,50920,3789,2944,104,1636,96.9550931,81.00514444,77.69860121,4.214483577
G4800850030207,2018-2022,TX,Texas,48,Collin County,085,030207,1400000US48085030207,"Census Tract 302.07, Collin County, Texas",48085030207,48085030207,3,7,19100,1,206,19124,01907,61561407,434575,302.07,33.3555,-96.5163128,14195,12990,1205,0,14195,4633,9562,32.5,35.7,31.6,15551,10771,2601,108,472,0,335,1264,9319,29,1855,2948,498,15551,520,207,102447,130,0.3635,15551,2933,12618,38712,11303,8085,384,5083,91.51109546,81.13947656,71.52968239,4.674940518
G4800850030301,2018-2022,TX,Texas,48,Collin County,085,030301,1400000US48085030301,"Census Tract 303.01, Collin County, Texas",48085030301,48085030301,3,7,19100,1,206,19124,01908,23299176,384698,303.01,33.2412217,-96.7119342,9945,9125,820,0,9945,3127,6818,36,34.5,36.9,9893,6806,1014,156,1166,0,92,659,6080,38,732,2332,721,9886,72,336,142690,59,0.3818,9893,1419,8474,53422,6704,4503,98,3181,91.75465058,85.65652482,67.16885442,4.127048351
G4800850030302,2018-2022,TX,Texas,48,Collin County,085,030302,1400000US48085030302,"Census Tract 303.02, Collin County, Texas",48085030302,48085030302,3,7,19100,1,206,19124,01908,15288169,413592,303.02,33.2410157,-96.7553993,5812,5649,163,0,5812,1925,3887,40.8,42.6,38.9,5637,4470,370,45,299,0,22,431,3423,0,295,1294,698,5637,141,0,196354,71,0.4,5637,946,4691,76280,4123,2539,86,1777,97.19545767,83.21802377,61.58137279,2.501330495
