TotalUrbanPop_prc,NoHealthInsurance_prc,Employed_prc,BPL_prc,GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,COUNTYA,TRACTA,GEO_ID,NAME,TL_GEO_ID,GiniIndex,TotalCivilianPop,OneOrMoreHealthInsurance,NoHealthInsurance,GEOID,GEOCODE,REGIONA,DIVISIONA,CBSAA,MEMI,CSAA,METDIVA,PUMA,AREALAND,AREAWATR,BASENAME,INTPTLAT,INTPTLON,TotalPopulation,TotalUrbanPopulation,TotalRuralPopulation,TotalPop_NotDefined,TotalPopinHH,TotalPopinHH_Under18,TotalPopinHH_Over18,MedianAgebySex_Total,MedianAgebySex_Male,MedianAgebySex_Female,Race_TotalPop,Race_White,Race_Black,Race_AmericanIndian_AlaskaNative,Race_Asian,Race_NativeHawaiian_PacificIslander,Race_SomeOther,Race_Mixed,EduAttainment_Total25yrs+,EduAttainment_NoSchooling,EduAttainment_HighSchoolDiploma,EduAttainment_Bachelors ,EduAttainment_Masters,Pop_BPL_Total,Pop_BPL_under.50,Pop_BPL_under.99,MedianHHIncome_12mon,HH_PublicAssistance_SNAP_12mon,PCY_12mon,EmpStatus_TotalPop16plus,EmpStatus_LF,EmpStatus_Unemplyed_Civilian,TotalHousingUnits,GISJOIN-1,GEOID-1,GEOGYEAR,PROP_OpenWater_2019,PROP_Developed_OpenSpace_2019,PROP_Developed_Low_2019,PROP_Developed_Medium_2019,PROP_Developed_High_2019,PROP_grassland_2019,PROP_pasture_2019,PROP_crops_2019,PROP_wetlands_2019,StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,TotalPopulation-1,TotalPop18plus,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHOLSCREEN_CrudePrev,COPD_CrudePrev,CSMOKING_CrudePrev,DEPRESSION_CrudePrev,DIABETES_CrudePrev,GHLTH_CrudePrev,HIGHCHOL_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,VISION_CrudePrev,COGNITION_CrudePrev,MOBILITY_CrudePrev_,INDEPLIVE_CrudePrev,DISABILITY_CrudePrev,ISOLATION_CrudePrev,FOODSTAMP_CrudePrev,FOODINSECU_CrudePrev,HOUSINSECU_CrudePrev,SHUTUTILITY_CrudePrev,LACKTRPT_CrudePrev,EMOTIONSPT_CrudePrev,Geolocation,CTFIPS,Average of DS_PM_pred
0,84.06402227,65.17210145,8.559498956,G4800850030101,2018-2022,TX,Texas,48,Collin County,085,030101,1400000US48085030101,"Census Tract 301.01, Collin County, Texas",48085030101,0.3529,2874,458,2416,1400000US48085030101,48085030101,3,7,19100,1,206,19124,01907,119235977,1249939,301.01,33.2679616,-96.4367903,3595,0,3595,0,3595,993,2602,39.7,40.1,39.2,2874,2428,2,5,3,0,231,205,1959,170,533,202,68,2874,126,120,96111,79,35910,2208,1439,26,1013,G4800850030101,48085030101,2020,0.005699422,0.020538673,0.025816705,0.015928669,0.001943814,0.37463066,0.174799517,0.176598892,0.012995746,TX,Texas,Collin,48085,48085030101,3595,2602,20,28.7,17.4,37.5,75.6,7.7,10.9,7.3,82.5,9.2,19.3,24.6,12.6,22.8,38,27.2,73.4,19.8,36,15.4,38.1,3.8,6.5,17.8,16.6,10.2,34.4,35.8,13.4,17.9,15.1,9.9,10,26.6,POINT (-96.4367903 33.2679616),48085030101,8.540737705
0,86.13965744,60.38536904,12.51646904,G4800850030102,2018-2022,TX,Texas,48,Collin County,085,030102,1400000US48085030102,"Census Tract 301.02, Collin County, Texas",48085030102,0.4246,3795,526,3269,1400000US48085030102,48085030102,3,7,19100,1,206,19124,01907,200441944,2109723,301.02,33.3217146,-96.3785072,4282,0,4282,0,4282,1019,3263,41,43.9,40.4,3795,3643,0,0,13,0,51,88,2569,64,692,401,122,3795,318,157,95625,113,40052,3062,1849,32,1472,G4800850030102,48085030102,2020,0.006722978,0.020516191,0.026719008,0.012932873,0.000993883,0.41585049,0.227046147,0.075398065,0.002177237,TX,Texas,Collin,48085,48085030102,4282,3263,19.2,32.5,15.6,41.1,78.4,8.7,10.9,8.9,84.2,10.6,20,24.2,14.8,24.8,40.2,28.7,71.4,19,37.9,16.8,38,4.6,7.3,17.4,19.2,10.9,36.1,33.4,14.8,17.6,14.2,10.1,9.8,23.9,POINT (-96.3785072 33.3217146),48085030102,8.489538251
47.43319838,87.95785248,70.81889082,4.39449849,G4800850030201,2018-2022,TX,Texas,48,Collin County,085,030201,1400000US48085030201,"Census Tract 302.01, Collin County, Texas",48085030201,0.3714,5979,720,5259,1400000US48085030201,48085030201,3,7,19100,1,206,19124,01907,91250954,1329423,302.01,33.2618762,-96.5350497,6175,2929,3246,0,6133,1649,4484,40.2,42.1,35.8,5985,4715,395,25,229,0,68,553,4000,0,735,1190,599,5962,131,131,134290,65,48515,4616,3269,96,2215,G4800850030201,48085030201,2020,0.01090727,0.043644279,0.038917158,0.033421811,0.007887836,0.361163467,0.107807629,0.181710824,0.004749432,TX,Texas,Collin,48085,48085030201,6175,4526,11.6,24.4,18.6,32.4,74.1,7.4,9.7,5.3,87,5.5,12.5,21.6,9.9,14.3,34.9,18.8,76.7,16,32.8,10.7,35.9,2.6,3.9,12,10.6,6.3,24.2,32.5,6,9.6,9.7,6.5,6.1,22,POINT (-96.5350497 33.2618762),48085030201,8.678571038
0,82.27536487,64.32786885,3.692632319,G4800850030202,2018-2022,TX,Texas,48,Collin County,085,030202,1400000US48085030202,"Census Tract 302.02, Collin County, Texas",48085030202,0.4469,5687,1008,4679,1400000US48085030202,48085030202,3,7,19100,1,206,19124,01907,151377249,2417266,302.02,33.3405713,-96.643292,6345,0,6345,0,6345,1613,4732,41.1,41.2,40.9,5687,4639,58,5,273,0,233,479,4125,11,488,1403,722,5687,154,56,129915,14,63872,4575,2943,110,2154,G4800850030202,48085030202,2020,0.010130191,0.042369418,0.023432076,0.024029687,0.005563581,0.430711359,0.086928234,0.177737862,0.011561594,TX,Texas,Collin,48085,48085030202,6345,4732,11.3,25.1,17.8,32.7,74.6,7.8,9.6,5.5,87.9,5.4,12.1,21.3,10.2,14.4,35.7,18.5,79.1,15.4,32.4,10.7,35.3,2.6,4,11.7,10.6,6.2,24,31.5,5.7,8.8,9,6.3,5.8,21,POINT (-96.643292 33.3405713),48085030202,8.694907104
86.36483982,90.03211304,70.37100068,7.938342967,G4800850030204,2018-2022,TX,Texas,48,Collin County,085,030204,1400000US48085030204,"Census Tract 302.04, Collin County, Texas",48085030204,0.337,7785,776,7009,1400000US48085030204,48085030204,3,7,19100,1,206,19124,01907,15792805,2872,302.04,33.3707197,-96.5746853,7554,6524,1030,0,7554,2461,5093,34.4,32.9,35.5,7785,5553,1420,24,85,0,185,518,5253,0,906,2086,675,7785,357,261,112761,263,38144,5876,4135,151,2929,G4800850030204,48085030204,2020,0,0.055222191,0.069256291,0.120008297,0.043292601,0.1411286,0.002507014,0.48465696,0,TX,Texas,Collin,48085,48085030204,7554,5093,14,20.2,20,29.1,69.4,5.6,9.8,4.1,84,4.6,11.7,22,8.7,14.2,31.2,18,80.6,16.5,33.1,10.1,36.3,2.2,4,12.3,9.4,6.3,22.8,34.5,9.2,13.1,12.7,8.3,7.8,24.1,POINT (-96.5746853 33.3707197),48085030204,8.625587432
95.00924214,74.27555556,64.9276737,18.24,G4800850030205,2018-2022,TX,Texas,48,Collin County,085,030205,1400000US48085030205,"Census Tract 302.05, Collin County, Texas",48085030205,0.4836,5625,1447,4178,1400000US48085030205,48085030205,3,7,19100,1,206,19124,01907,9537470,301833,302.05,33.3311563,-96.5721906,4869,4626,243,0,4869,1511,3358,30.7,30.2,32.2,5625,4347,575,21,197,0,143,342,3399,25,879,787,293,5625,1002,24,83352,0,35962,4217,2738,21,1975,G4800850030205,48085030205,2020,0.020397792,0.083192214,0.081125297,0.119648464,0.018945191,0.332306832,0.032563291,0.086164668,0.001189109,TX,Texas,Collin,48085,48085030205,4869,3358,17.7,22.7,18.3,32.5,70.4,5.6,10.4,5,81.2,6.1,17.1,23.2,10.5,18.9,32.9,24.1,76.9,19.4,36.8,12.6,39.5,2.7,5.4,16.1,12.1,8.5,29,35.2,13.6,17.1,15.7,10.8,9.7,25.3,POINT (-96.5721906 33.3311563),48085030205,8.656827869
96.9550931,81.00514444,77.69860121,4.214483577,G4800850030206,2018-2022,TX,Texas,48,Collin County,085,030206,1400000US48085030206,"Census Tract 302.06, Collin County, Texas",48085030206,0.249,5054,960,4094,1400000US48085030206,48085030206,3,7,19100,1,206,19124,01907,10998136,113281,302.06,33.2964198,-96.5796303,4565,4426,139,0,4565,1559,3006,36.7,38.3,33,5054,3564,550,0,384,0,121,435,3339,0,657,1413,395,5054,135,78,152800,59,50920,3789,2944,104,1636,G4800850030206,48085030206,2020,8.099773549e-05,0.095442206,0.101325966,0.116719946,0.038133875,0.267451882,0.044548754,0.116306558,0.002348934,TX,Texas,Collin,48085,48085030206,4565,3006,11,19.1,20.6,28.9,69.8,6,9.1,3.7,85.3,3.6,9.2,20.9,7.6,10.8,31.4,14.8,79.8,14.8,30.6,8.3,34.7,1.8,2.9,10,7.3,4.8,19.2,32.3,4.5,7.7,8.4,5.7,5.3,20.8,POINT (-96.5796303 33.2964198),48085030206,8.684103825
91.51109546,81.13947656,71.52968239,4.674940518,G4800850030207,2018-2022,TX,Texas,48,Collin County,085,030207,1400000US48085030207,"Census Tract 302.07, Collin County, Texas",48085030207,0.3635,15551,2933,12618,1400000US48085030207,48085030207,3,7,19100,1,206,19124,01907,61561407,434575,302.07,33.3555,-96.5163128,14195,12990,1205,0,14195,4633,9562,32.5,35.7,31.6,15551,10771,2601,108,472,0,335,1264,9319,29,1855,2948,498,15551,520,207,102447,130,38712,11303,8085,384,5083,G4800850030207,48085030207,2020,0.004888994,0.045821931,0.051961742,0.062758088,0.017549014,0.341256857,0.121354789,0.243723214,0.000435466,TX,Texas,Collin,48085,48085030207,14195,9562,14.3,21.7,19.3,30.5,70.9,5.9,9.8,4.6,85,5.2,13,22.2,9.3,14.8,31.9,19,77.4,16.7,34,10.6,37,2.4,4.1,12.5,10.2,6.5,23.9,34.3,9.3,13.1,13,8.8,7.9,24,POINT (-96.5163128 33.3555),48085030207,8.610612022
91.75465058,85.65652482,67.16885442,4.127048351,G4800850030301,2018-2022,TX,Texas,48,Collin County,085,030301,1400000US48085030301,"Census Tract 303.01, Collin County, Texas",48085030301,0.3818,9893,1419,8474,1400000US48085030301,48085030301,3,7,19100,1,206,19124,01908,23299176,384698,303.01,33.2412217,-96.7119342,9945,9125,820,0,9945,3127,6818,36,34.5,36.9,9893,6806,1014,156,1166,0,92,659,6080,38,732,2332,721,9886,72,336,142690,59,53422,6704,4503,98,3181,G4800850030301,48085030301,2020,0.006156076,0.067964636,0.079945415,0.120515943,0.027752316,0.304051638,0.113322377,0.142957896,0.003724046,TX,Texas,Collin,48085,48085030301,9945,6818,10.5,22.5,18.2,30.2,73.3,6.8,9.5,4.5,89,4.7,12.4,20.9,9.3,13.3,33.5,17.7,81.1,15.4,31.4,9.9,36.3,2.3,3.5,11.3,9.2,5.7,22.1,32.3,6,9.5,9.9,6.6,6,22.8,POINT (-96.7119342 33.2412217),48085030301,8.87326776
97.19545767,83.21802377,61.58137279,2.501330495,G4800850030302,2018-2022,TX,Texas,48,Collin County,085,030302,1400000US48085030302,"Census Tract 303.02, Collin County, Texas",48085030302,0.4,5637,946,4691,1400000US48085030302,48085030302,3,7,19100,1,206,19124,01908,15288169,413592,303.02,33.2410157,-96.7553993,5812,5649,163,0,5812,1925,3887,40.8,42.6,38.9,5637,4470,370,45,299,0,22,431,3423,0,295,1294,698,5637,141,0,196354,71,76280,4123,2539,86,1777,G4800850030302,48085030302,2020,0.012495393,0.115187421,0.141452521,0.154710323,0.021871239,0.314413458,0.033065178,0.111082897,0,TX,Texas,Collin,48085,48085030302,5812,3887,8.4,25.1,18.7,30.8,74,7.4,9.5,5.2,89.8,5.7,13.9,21.4,9.9,13.8,35.2,18.7,81.7,15.5,32.9,10.7,35.8,2.5,3.6,11.3,10.3,5.9,22.9,30.5,4.4,6.9,7.7,5.6,4.8,19.7,POINT (-96.7553993 33.2410157),48085030302,8.888606557
